gp_id,bp_id,source
P12644,GO:0001525,GO
P19338,GO:0001525,GO
Q15582,GO:0001525,GO
Q99814,GO:0001525,GO
O00470,GO:0001525,GO
P63261,GO:0001525,GO
Q92826,GO:0001525,GO
Q92823,GO:0001525,GO
Q99542,GO:0001525,GO
P09601,GO:0001525,GO
O60895,GO:0001525,GO
Q68D42,GO:0001525,GO
P21802,GO:0001525,GO
Q9BZ23,GO:0001525,GO
Q9BXY4,GO:0001525,GO
Q9BY76,GO:0001525,GO
P58294,GO:0001525,GO
O00755,GO:0001525,GO
Q92626,GO:0001525,GO
Q15465,GO:0001525,GO
Q15464,GO:0001525,GO
P36897,GO:0001525,GO
P36894,GO:0001525,GO
Q92982,GO:0001525,GO
Q8IY63,GO:0001525,GO
Q8WWQ8,GO:0001525,GO
Q15648,GO:0001525,GO
P31268,GO:0001525,GO
Q05397,GO:0001525,GO
Q8IUK5,GO:0001525,GO
Q8N264,GO:0001525,GO
P41134,GO:0001525,GO
P23467,GO:0001525,GO
Q5U651,GO:0001525,GO
Q16665,GO:0001525,GO
O14944,GO:0001525,GO
Q12884,GO:0001525,GO
O14786,GO:0001525,GO
O14713,GO:0001525,GO
P57082,GO:0001525,GO
P13521,GO:0001525,GO
P13500,GO:0001525,GO
Q02763,GO:0001525,GO
Q12948,GO:0001525,GO
Q9H488,GO:0001525,GO
Q12913,GO:0001525,GO
Q12904,GO:0001525,GO
Q969H8,GO:0001525,GO
P50281,GO:0001525,GO
P13688,GO:0001525,GO
P50222,GO:0001525,GO
Q9Y264,GO:0001525,GO
P0DMC3,GO:0001525,GO
Q5UCC4,GO:0001525,GO
Q9H461,GO:0001525,GO
Q9NP84,GO:0001525,GO
Q9ULZ1,GO:0001525,GO
Q9H3S1,GO:0001525,GO
Q9ULV1,GO:0001525,GO
Q9NP31,GO:0001525,GO
O95398,GO:0001525,GO
P17252,GO:0001525,GO
Q9UHF1,GO:0001525,GO
Q16270,GO:0001525,GO
P10145,GO:0001525,GO
Q8NHC4,GO:0001525,GO
Q9Y5J3,GO:0001525,GO
Q9Y5C1,GO:0001525,GO
P10767,GO:0001525,GO
P50895,GO:0001525,GO
P37023,GO:0001525,GO
Q96EB6,GO:0001525,GO
Q9Y2N7,GO:0001525,GO
Q9Y4D7,GO:0001525,GO
Q5D1E8,GO:0001525,GO
Q9Y2J4,GO:0001525,GO
Q9Y6W5,GO:0001525,GO
P03950,GO:0001525,GO
P07355,GO:0001525,GO
Q16539,GO:0001525,GO
P20827,GO:0001525,GO
P20800,GO:0001525,GO
Q9UHW9,GO:0001525,GO
Q9UHN6,GO:0001525,GO
O60687,GO:0001525,GO
P09038,GO:0001525,GO
P29474,GO:0001525,GO
Q5SNT2,GO:0001525,GO
P02462,GO:0001525,GO
Q9BRP0,GO:0001525,GO
Q9BUL8,GO:0001525,GO
Q15139,GO:0001525,GO
Q99687,GO:0001525,GO
Q8IZJ1,GO:0001525,GO
Q9BXJ9,GO:0001525,GO
P08253,GO:0001525,GO
Q08722,GO:0001525,GO
Q9BX67,GO:0001525,GO
P23381,GO:0001525,GO
Q9Y696,GO:0001525,GO
Q9Y653,GO:0001525,GO
Q9Y5S8,GO:0001525,GO
Q8N3E9,GO:0001525,GO
P78325,GO:0001525,GO
Q8N302,GO:0001525,GO
P43405,GO:0001525,GO
Q8WZ75,GO:0001525,GO
P43121,GO:0001525,GO
Q96BN8,GO:0001525,GO
Q8NI99,GO:0001525,GO
P29353,GO:0001525,GO
P29323,GO:0001525,GO
P29317,GO:0001525,GO
P49767,GO:0001525,GO
P49763,GO:0001525,GO
P29279,GO:0001525,GO
P59773,GO:0001525,GO
P39060,GO:0001525,GO
A6NDR6,GO:0001525,GO
Q96E22,GO:0001525,GO
P35968,GO:0001525,GO
O75351,GO:0001525,GO
Q9BZL6,GO:0001525,GO
O00522,GO:0001525,GO
Q99828,GO:0001525,GO
P23582,GO:0001525,GO
Q96LR9,GO:0001525,GO
Q4VCS5,GO:0001525,GO
Q96MM6,GO:0001525,GO
Q9NVD7,GO:0001525,GO
Q96PH1,GO:0001525,GO
Q9NV29,GO:0001525,GO
Q16678,GO:0001525,GO
Q9NR61,GO:0001525,GO
Q5UE93,GO:0001525,GO
P17861,GO:0001525,GO
P17813,GO:0001525,GO
O95971,GO:0001525,GO
P27658,GO:0001525,GO
Q9UPZ6,GO:0001525,GO
Q9UPX6,GO:0001525,GO
Q96PE1,GO:0001525,GO
P98160,GO:0001525,GO
P07996,GO:0001525,GO
Q9H8L6,GO:0001525,GO
P54762,GO:0001525,GO
P54760,GO:0001525,GO
P54753,GO:0001525,GO
Q9H6U6,GO:0001525,GO
Q9NS00,GO:0001525,GO
Q9H6I2,GO:0001525,GO
Q9H6E4,GO:0001525,GO
Q9UKW4,GO:0001525,GO
Q16610,GO:0001525,GO
Q16602,GO:0001525,GO
Q9H2J4,GO:0001525,GO
P17542,GO:0001525,GO
Q06330,GO:0001525,GO
P17342,GO:0001525,GO
Q9UII2,GO:0001525,GO
O95859,GO:0001525,GO
O75340,GO:0001525,GO
Q9NPY3,GO:0001525,GO
Q9NQ30,GO:0001525,GO
Q9H4E5,GO:0001525,GO
P52799,GO:0001525,GO
P05121,GO:0001525,GO
P05106,GO:0001525,GO
P05090,GO:0001525,GO
Q14344,GO:0001525,GO
P35713,GO:0001525,GO
P35916,GO:0001525,GO
P05230,GO:0001525,GO
P39059,GO:0001525,GO
O43508,GO:0001525,GO
P04085,GO:0001525,GO
O43365,GO:0001525,GO
P42336,GO:0001525,GO
Q00604,GO:0001525,GO
Q19T08,GO:0001525,GO
Q63HN8,GO:0001525,GO
P62745,GO:0001525,GO
Q14790,GO:0001525,GO
P15104,GO:0001525,GO
Q14119,GO:0001525,GO
Q14116,GO:0001525,GO
P35590,GO:0001525,GO
P35579,GO:0001525,GO
P05556,GO:0001525,GO
P15144,GO:0001525,GO
P19971,GO:0001525,GO
P49685,GO:0001525,GO
P49682,GO:0001525,GO
Q5VWQ8,GO:0001525,GO
P25067,GO:0001525,GO
P35222,GO:0001525,GO
O60565,GO:0001525,GO
P08648,GO:0001525,GO
Q07075,GO:0001525,GO
P46531,GO:0001525,GO
Q7L8A9,GO:0001525,GO
P21709,GO:0001525,GO
P36382,GO:0001525,GO
P21673,GO:0001525,GO
P17948,GO:0001525,GO
Q7Z4H4,GO:0001525,GO
P01135,GO:0001525,GO
P01133,GO:0001525,GO
P01127,GO:0001525,GO
Q8TB73,GO:0001525,GO
P11362,GO:0001525,GO
O60462,GO:0001525,GO
O76093,GO:0001525,GO
P09619,GO:0001525,GO
Q7Z5H3,GO:0001525,GO
A8K0S8,GO:0001525,GO
P08572,GO:0001525,GO
P08514,GO:0001525,GO
O60894,GO:0001525,GO
P55347,GO:0001525,GO
P02751,GO:0001525,GO
P05412,GO:0001525,GO
P15692,GO:0001525,GO
P63104,GO:0001525,GO
Q15389,GO:0001525,GO
P48357,GO:0001525,GO
Q86Y25,GO:0001525,GO
P06576,GO:0001525,GO
Q9HDB5,GO:0001525,GO
Q9HCX3,GO:0001525,GO
Q08431,GO:0001525,GO
P48745,GO:0001525,GO
P48736,GO:0001525,GO
P41970,GO:0001525,GO
P21453,GO:0001525,GO
O96004,GO:0001525,GO
Q6UXH8,GO:0001525,GO
Q6UXB2,GO:0001525,GO
P58400,GO:0001525,GO
P41159,GO:0001525,GO
Q13887,GO:0001525,GO
Q9HC23,GO:0001525,GO
P16284,GO:0001525,GO
P31151,GO:0001525,GO
Q6UW88,GO:0001525,GO
Q6UVK1,GO:0001525,GO
P52735,GO:0001525,GO
O43435,GO:0001525,GO
Q14289,GO:0001525,GO
O43915,GO:0001525,GO
P35613,GO:0001525,GO
O60243,GO:0001525,GO
P35414,GO:0001525,GO
P25106,GO:0001525,GO
P25101,GO:0001525,GO
P35398,GO:0001525,GO
O15431,GO:0001525,GO
P04216,GO:0001525,GO
P61296,GO:0001525,GO
Q9NZ08,GO:0001525,GO
P06756,GO:0001525,GO
P78504,GO:0001525,GO
P14651,GO:0001525,GO
Q13685,GO:0001525,GO
O15520,GO:0001525,GO
Q13480,GO:0001525,GO
P04196,GO:0001525,GO
Q13467,GO:0001525,GO
Q13444,GO:0001525,GO
Q9NZJ5,GO:0001525,GO
Q03169,GO:0001525,GO
Q9NZI7,GO:0001525,GO
O15123,GO:0001525,GO
Q03135,GO:0001525,GO
Q13370,GO:0001525,GO
O15041,GO:0001525,GO
P31371,GO:0001525,GO
P51817,GO:0001525,GO
P78362,GO:0001525,GO
Q9UK05,GO:0001525,GO
Q8IVF7,GO:0001525,GO
